zoneName,Status,FullName,LastUpdate,Risk,Impact,Owner
MQ,Not Available,MQ,2/10/25,Medium,Low,Not assigned
MR,Not Available,MR,2/10/25,Medium,Low,Not assigned
MT,Not Available,MT,2/10/25,Medium,Low,Not assigned
MU,Not Available,MU,2/10/25,Medium,Low,Not assigned
MV,Not Available,MV,2/10/25,Medium,Low,Not assigned
MW,Not Available,MW,2/10/25,Medium,Low,Not assigned
MX,Not Available,MX,2/10/25,Medium,Low,Not assigned
MY-EM,Not Available,MY-EM,2/10/25,Medium,Low,Not assigned
MY-WM,Not Available,MY-WM,2/10/25,Medium,Low,Not assigned
MY,Not Available,MY,2/10/25,Medium,Low,Not assigned
MZ,Not Available,MZ,2/10/25,Medium,Low,Not assigned
NA,Not Available,NA,2/10/25,Medium,Low,Not assigned
NC,Not Available,NC,2/10/25,Medium,Low,Not assigned
NE,Not Available,NE,2/10/25,Medium,Low,Not assigned
NG,Not Available,NG,2/10/25,Medium,Low,Not assigned
NI,Not Available,Nicaragua,2/10/25,Medium,Low,Rahul
NL,Not Available,Netherlands,2/10/25,Medium,Low,Neelaksh
NO-NO1,Not Available,Norway - Southeast,2/10/25,Medium,Low,Neelaksh
NO-NO2,Not Available,Norway - Southwest,2/10/25,Medium,Low,Neelaksh
NO-NO3,Not Available,Norway - Middle,2/10/25,Medium,Low,Neelaksh
NO-NO4,Not Available,Norway - North,2/10/25,Medium,Low,Neelaksh
NO-NO5,Not Available,Norway - West,2/10/25,Medium,Low,Neelaksh
NO,Not Available,Norway,2/10/25,Medium,Low,Neelaksh
NP,Not Available,NP,2/10/25,Medium,Low,Not assigned
NZ-NZA,Not Available,NZ-NZA,2/10/25,Medium,Low,Rahul
NZ-NZC,Not Available,NZ-NZC,2/10/25,Medium,Low,Rahul
NZ-NZST,Not Available,NZ-NZST,2/10/25,Medium,Low,Rahul
NZ,Not Available,New Zealand,2/10/25,Medium,Low,Not assigned
OM,Not Available,OM,2/10/25,Medium,Low,Not assigned
PA,Not Available,PA,2/10/25,Medium,Low,Not assigned
PE,Not Available,PE,2/10/25,Medium,Low,Not assigned
PF,Not Available,PF,2/10/25,Medium,Low,Not assigned
